"m140(5,2)","m140(5,2)",13,13,nLLvLLPQQkbdhhimillkkklmdwoooxspmhihdj,nLLLLLPPQkcdfgiklmlmlkjmhsxgwxqtxtlrkc,1
"s119(4,1)","s119(4,1)",13,12,nLLLvPQwQkcdfihijkhlmmlmhsmcvsaewkcggj,mLLLLLPQQcdfhghijkllklhstrwrrpdewwk,1
"m207(1,3)","m207(1,3)",13,13,nvLALLLQQkcdfhjlimkjkmlmffalwprlnnbqqv,nLLvvAQPQkbefkijiljkmlmmhhgbbfklfwtqxn,1
"m140(6,1)","m140(6,1)",14,14,oLLLAzwPQPcbefgfihmlmlknnnhhmhihgnnnsketp,oLLLLQLzMQccdgfihhklmlmnnnhshcocchhrojqat,1
"m322(1,2)","m322(1,2)",13,13,nvLPvwMQQkdfgjljiimklmlmjamujojgdgcdbd,nLvLMAzPQkcffhhgjmlkklmmtlhlgkaeplkkrc,1
"m304(-3,1)","m304(-3,1)",13,13,nLLLLMMzQkccegfjhikmlmlmlnmgjhondccjkn,nLLLLMwAQkcddigghljkmlmmpkrxwwchnjmsmi,1
"m199(-4,1)","m199(-4,1)",13,13,nLLLPLzAQkccfhggjlklmmmllnaqgcdqgjpixc,nLLvLLQPQkcdiijkjhlmkmlmhsnvoqnnmdpmrg,1
"m206(3,2)","m206(3,2)",13,13,nLLvLAQAMkbefhijkhijlmmmxxxwcjxgnfhxhq,nLLLLLzQQkbcgfhjkmkljlmmtsmgfahaqdtvrs,1
"m154(1,4)","m154(1,4)",14,14,oLvAvMMMQMccdeikhhkmmlkmnnpjaourruxaorjhs,oLvALPzPQMcbefgghijkllmlnndadljwfupsnwgqw,1
"m141(-5,3)","m141(-5,3)",13,13,nLLvAQzMAkbegfhihjkkjlmmhhhqoboheisjhw,nLLvLMQPAkcdgjfikhjjklmmhsgorkangbmjqs,1
"m154(-1,4)","m154(-1,4)",13,13,nLLLLPvQQkbcgijilklmmkkmtsmsqspitqdsjv,nLLLLLQzQkcdghjkkhjklmmmhshweauwpiafsw,1
"m157(-4,3)","m157(-4,3)",14,13,oLLLvzQQzQcacffhkljllmknmnnkgkiitwrghnxnn,nLLLLwAAQkcdgfhjklkkljmmhshnsxdeapakkn,1
"m149(5,2)","m149(5,2)",13,13,nLLLvLPQQkcddkikhjmmllmlpkraalodakkkoj,nLLLLLPPQkacfikhjmljklmmjkgqtiibrvvgwc,1
"m180(-4,3)","m180(-4,3)",13,13,nLLvLLPQQkacihkhijlkjlmmnkdaiulmccnbcs,nLLLLAwAQkbcgfighkjmkllmtsmgjwopawfnjs,1
